00000001,STAT,DoorMarker
00000002,STAT,TravelMarker
00000003,STAT,NorthMarker
00000004,DOOR,PrisonMarker
00000005,STAT,DivineMarker
00000006,STAT,TempleMarker
00000007,NPC_,Player
0000000A,MISC,Lockpick
0000000E,CONT,TreasBag
0000000F,MISC,Gold001
00000010,STAT,MapMarker
00000012,STAT,HorseMarker
00000013,FACT,CreatureFaction
00000015,STAT,MultiBoundMarker
00000016,CPTH,PlayerDeath
00000017,STAT,PlaneMarker
00000018,WATR,DefaultWater
00000019,RACE,DefaultRace
0000001B,ACTI,DefaultAshPile1
0000001C,BPTD,PlayerBodyPartData
0000001D,BPTD,DefaultBodyPartData
0000001E,ECZN,NoZoneZone
0000001F,STAT,RoomMarker
00000020,STAT,PortalMarker
00000021,STAT,CollisionMarker
00000022,ACTI,DefaultAshPile2
00000025,CELL,NavMeshGenCellDUPLICATE001
00000028,TXST,NullTextureSet
0000002D,VTYP,MaleUniqueMolagBal
0000002E,VTYP,FemaleUniqueAzura
00000031,DOBJ,
00000032,STAT,COCMarkerHeading
00000033,STAT,RadiationMarker
00000034,STAT,XMarkerHeading
00000035,GLOB,GameYear
00000036,GLOB,GameMonth
00000037,GLOB,GameDay
00000038,GLOB,GameHour
00000039,GLOB,GameDaysPassed
0000003A,GLOB,TimeScale
0000003B,STAT,XMarker
0000003C,WRLD,Tamriel
0000003D,CSTY,DefaultCombatstyle
0000005B,SMBN,Root
00000061,STAT,CellWaterCurrentMarker
00000062,STAT,WaterCurrentMarker
00000063,GLOB,PlayCredits
00000064,STAT,FurnitureMarker01Sit
00000065,STAT,FurnitureMarker02Lay
00000066,STAT,FurnitureMarker03Lean
00000067,STAT,FurnitureMarker04
00000068,STAT,FurnitureMarker05
000000A0,STAT,AnimInteractionMarker
000000C4,STAT,WaterCurrentZoneMarker
00000146,EFSH,LifeDetected
0000014A,MGEF,ScriptEffect
0000014C,MGEF,WardConcSelf0
0000015E,WTHR,DefaultWeather
0000015F,CLMT,DefaultClimate
00000160,IMGS,DefaultImageSpaceInterior
00000161,IMGS,DefaultImageSpaceExterior
00000162,IMAD,GetHit
00000163,FLST,HelpManualPC
00000164,IMAD,ImageSpaceConcussion
00000165,FLST,HelpManualXBox
00000166,IMAD,ExplosionInFace
00000167,IMGS,DefaultImageSpace
0000016D,MESG,_HelpPipBoyItems
0000016E,MESG,_HelpPipBoyRepair
00000176,MESG,_HelpChargenTagSkills
00000177,MESG,_HelpChargenRace
00000178,MESG,HelpLevelingShort
00000179,MESG,_HelpDialogue
0000017B,MESG,_HelpHacking
0000017C,MESG,HelpLockpickingShort
0000017D,MESG,_HelpVATSPC
0000017E,MESG,_HelpContainer
0000017F,MESG,_HelpBarter
00000180,MESG,_HelpTerminal
00000181,MESG,_HelpPipBoyStats
00000182,MESG,_HelpPipBoyData
00000183,MESG,_HelpVATSXBox
00000184,MESG,HelpLockpickingLong
000001F3,FLST,HairColorListDoNotUse
000001F4,WEAP,Unarmed
000001F5,EXPL,DefaultWaterExplosion
000001F6,WEAP,GasTrapDummy
00000276,IPDS,DefaultImpactDataSet
000003E8,AVIF,AVHealth
000003E9,AVIF,AVMagicka
000003EA,AVIF,AVStamina
000003EB,AVIF,AVHealRate
000003EC,AVIF,AVMagickaRate
000003ED,AVIF,AVStaminaRate
000003EE,AVIF,AVSpeedMult
000003EF,AVIF,AVInventoryWeight
000003F0,AVIF,AVCarryWeight
000003F1,AVIF,AVCritChance
000003F2,AVIF,AVMeleeDamage
000003F3,AVIF,AVUnarmedDamage
000003F4,AVIF,AVMass
000003F6,AVIF,AVVoiceRate
0000044C,AVIF,AVOneHanded
0000044D,AVIF,AVTwoHanded
0000044E,AVIF,AVMarksman
0000044F,AVIF,AVBlock
00000450,AVIF,AVSmithing
00000451,AVIF,AVHeavyArmor
00000452,AVIF,AVLightArmor
00000453,AVIF,AVPickpocket
00000454,AVIF,AVLockpicking
00000455,AVIF,AVSneak
00000456,AVIF,AVAlchemy
00000457,AVIF,AVSpeechcraft
00000458,AVIF,AVAlteration
00000459,AVIF,AVConjuration
0000045A,AVIF,AVDestruction
0000045B,AVIF,AVMysticism
0000045C,AVIF,AVRestoration
0000045D,AVIF,AVEnchanting
000004B0,AVIF,AVAggression
000004B1,AVIF,AVConfidence
000004B2,AVIF,AVEnergy
000004B3,AVIF,AVMorality
000004B4,AVIF,AVMood
000004B5,AVIF,AVAssistance
000005CE,AVIF,AVDamageResist
000005CF,AVIF,AVPoisonResist
000005D0,AVIF,AVFireResist
000005D1,AVIF,AVElectricResist
000005D2,AVIF,AVFrostResist
000005D3,AVIF,AVMagicResist
000005D4,AVIF,AVNormalWeaponsResist
000005D5,AVIF,AVPerceptionCondition
000005D6,AVIF,AVEnduranceCondition
000005D7,AVIF,AVLeftAttackCondition
000005D8,AVIF,AVRightAttackCondition
000005D9,AVIF,AVLeftMobilityCondition
000005DA,AVIF,AVRightMobilityCondition
000005DB,AVIF,AVBrainCondition
000005DC,AVIF,AVParalysis
000005DD,AVIF,AVInvisibility
000005DE,AVIF,AVNightEye
000005DF,AVIF,AVDetectLifeRange
000005E2,AVIF,AVIgnoreCrippledLimbs
000005E3,AVIF,AVFame
000005E4,AVIF,AVInfamy
000005E5,AVIF,AVJumpingBonus
000005E7,AVIF,AVEquippedItemCharge
000005E8,AVIF,AVArmorPerks
000005E9,AVIF,AVShieldPerks
000005EB,AVIF,AVVariable01
000005EC,AVIF,AVVariable02
000005ED,AVIF,AVVariable03
000005F0,AVIF,AVVariable06
000005F1,AVIF,AVVariable07
000005F2,AVIF,AVVariable08
000005F3,AVIF,AVVariable09
000005F4,AVIF,AVVariable10
000005F5,AVIF,AVBowSpeedBonus
000005F6,AVIF,AVFavorActive
000005F7,AVIF,AVFavorsPerDay
000005F8,AVIF,AVFavorsPerDayTimer
000005F9,AVIF,AVEquippedStaffCharge
000005FA,AVIF,AVAbsorbChance
000005FB,AVIF,AVBlindness
000005FD,AVIF,AVShoutRecoveryMult
000005FE,AVIF,AVBowStaggerBonus
000005FF,AVIF,AVTelekinesis
00000600,AVIF,AVFavorPointsBonus
00000601,AVIF,AVLastBribedIntimidated
00000602,AVIF,AVLastFlattered
00000603,AVIF,AVMuffled
00000604,AVIF,AVBypassVendorStolenCheck
00000605,AVIF,AVBypassVendorKeywordCheck
00000606,AVIF,AVWaitingForPlayer
00000607,AVIF,AVOneHandedMod
00000608,AVIF,AVTwoHandedMod
00000609,AVIF,AVMarksmanMod
0000060A,AVIF,AVBlockMod
0000060C,AVIF,AVHeavyArmorMod
0000060D,AVIF,AVLightArmorMod
0000060E,AVIF,AVPickPocketMod
0000060F,AVIF,AVLockpickingMod
00000610,AVIF,AVSneakMod
00000611,AVIF,AVAlchemyMod
00000612,AVIF,AVSpeechcraftMod
00000613,AVIF,AVAlterationMod
00000614,AVIF,AVConjurationMod
00000615,AVIF,AVDestructionMod
00000616,AVIF,AVIllusionMod
00000617,AVIF,AVRestorationMod
00000618,AVIF,AVEnchantingMod
00000619,AVIF,AVOneHandedSkillAdvance
0000061A,AVIF,AVTwoHandedSkillAdvance
0000061B,AVIF,AVMarksmanSkillAdvance
0000061C,AVIF,AVBlockSkillAdvance
0000061D,AVIF,AVSmithingSkillAdvance
0000061E,AVIF,AVHeavyArmorSkillAdvance
0000061F,AVIF,AVLightArmorSkillAdvance
00000620,AVIF,AVPickPocketSkillAdvance
00000621,AVIF,AVLockpickingSkillAdvance
00000622,AVIF,AVSneakSkillAdvance
00000623,AVIF,AVAlchemySkillAdvance
00000624,AVIF,AVSpeechcraftSkillAdvance
00000625,AVIF,AVAlterationSkillAdvance
00000626,AVIF,AVConjurationSkillAdvance
00000627,AVIF,AVDestructionSkillAdvance
00000628,AVIF,AVIllusionSkillAdvance
00000629,AVIF,AVRestorationSkillAdvance
0000062A,AVIF,AVEnchantingSkillAdvance
0000062B,AVIF,AVLeftWeaponSpeedMult
