02002922,REFR,00031897,
0200299F,REFR,0200F9F0,
020029A0,REFR,0200F9FA,
02002B0E,ACHR,02002B0D,Easy
02002B0F,REFR,00099312,
02002B13,REFR,020041EC,
02002B14,REFR,020041F2,
02002B20,REFR,020041E8,
02002B21,REFR,001067EC,
02002B22,REFR,02002B29,
02002B23,ACHR,020071AF,Easy
02002B24,ACHR,020071AF,Easy
02002B25,ACHR,020071AF,Easy
02002B26,ACHR,020071AF,Easy
02002B2A,REFR,0200BDD2,
02002B2B,REFR,0000003B,
02002B2C,REFR,0000003B,
02002B2D,REFR,0200BDD2,
02002B2E,REFR,0000003B,
02002B2F,REFR,0000003B,
02002B30,REFR,0200BDD2,
02002B31,REFR,0000003B,
02002B32,REFR,0000003B,
02002FCA,REFR,00000032,
02002FE1,REFR,02018EF7,
0200321F,REFR,00081322,
0200335E,REFR,0200825D,
0200335F,ACHR,020150AF,Easy
02003377,REFR,0200825D,
02003378,ACHR,0200BF5E,Easy
02003379,REFR,0200825D,
0200337A,ACHR,02004575,Easy
0200337B,REFR,020183EE,
0200337C,REFR,020183EE,
0200337D,REFR,020183EE,
0200337E,REFR,020183EE,
0200337F,REFR,020183EE,
02003380,REFR,020183EE,
02003381,REFR,020183EE,
02003382,REFR,020183EE,
02003383,REFR,020183EE,
02003384,REFR,020183EE,
02003385,REFR,020183EE,
02003386,REFR,000587D4,
02003387,REFR,000481AD,
02003388,REFR,020183EE,
02003389,REFR,000587C6,
0200338A,REFR,0000003B,
0200338B,REFR,02002911,
0200338C,REFR,020183EE,
0200338D,REFR,020183EE,
0200338E,REFR,020183EE,
02003391,REFR,0200E3E4,
02003392,REFR,0200E3E4,
02003393,REFR,000AF5F2,
02003394,REFR,000AF5F3,
02003395,REFR,000AF5F5,
02003396,REFR,000AF5F6,
02003397,REFR,000AF5F9,
02003398,REFR,000AF5FD,
02003399,REFR,000B56DB,
0200339A,REFR,00064806,
0200339B,REFR,00064806,
0200339C,REFR,0002E4F4,
0200356E,REFR,0200280F,
02003573,REFR,0200280F,
02003779,REFR,0200C22D,
0200377A,REFR,0200C22E,
0200377B,REFR,0200C230,
0200377C,REFR,0200C22E,
0200378F,REFR,0200C22E,
02003790,REFR,0200C22D,
02003791,REFR,0200C22F,
02003792,REFR,0200C22F,
02003793,REFR,0200C22F,
02003794,REFR,0200C22E,
02003795,REFR,0200E3E2,
02003796,REFR,0200E3E8,
02003797,REFR,02007AD9,
02003798,REFR,02007AD9,
02003799,REFR,02007AD9,
0200379A,REFR,00000032,
0200379B,REFR,0200C22D,
0200379C,REFR,0200C22E,
0200379D,REFR,0200C22E,
0200379E,REFR,0200C22E,
020037A0,REFR,0200280E,
020037A2,REFR,0200C22E,
020037A7,REFR,000D2019,
020037A8,REFR,02007AD9,
020037AD,REFR,0200C22E,
020037AE,REFR,00040BAD,
020037AF,REFR,00040BAD,
020037B4,REFR,00040BAD,
020037B9,REFR,00040BAD,
020037BA,REFR,0200C230,
020037BB,REFR,0200C22E,
020037BC,REFR,0200C22E,
020037BE,REFR,0200C22E,
020037C3,REFR,0200C22D,
020037C4,REFR,0200C22E,
020037C5,REFR,0200C22E,
020037C6,ACHR,020150AF,Easy
020037C7,REFR,0200C22E,
020037C8,REFR,0200C22E,
020037C9,REFR,0200C22E,
020037CA,REFR,0200C22E,
020037CB,REFR,0200C234,
020037CC,REFR,0200C234,
020037CD,REFR,0200C235,
020037CE,REFR,0200C235,
020037CF,REFR,0200E3E9,
020037D0,REFR,0200E3E7,
020037D1,REFR,0200C22E,
020037D2,REFR,0200C22E,
020037D3,REFR,0200C22E,
020037D4,REFR,0200C22E,
020037D5,REFR,0200C22E,
020037D6,REFR,0200C22E,
02003808,REFR,0200C22F,
0200380D,REFR,0200C22F,
02003812,REFR,0200C22E,
02003813,REFR,0200C22F,
02003815,REFR,0200C22F,
02003816,REFR,0200C235,
02003817,REFR,0200C235,
02003818,REFR,0200E3E9,
02003819,REFR,0200C234,
02003822,REFR,0200C235,
02003823,REFR,0200C235,
02003827,REFR,0200C235,
02003828,REFR,0200C235,
02003829,REFR,0200C235,
0200382A,REFR,0200C235,
0200382B,REFR,0200C235,
0200382C,REFR,0200C235,
0200382E,REFR,0200C235,
02003831,REFR,0200C235,
02003832,REFR,0200E3E9,
02003833,REFR,0200E9E9,
02003834,REFR,02003BDA,
02003835,REFR,000D201A,
0200383D,REFR,02012DBA,
0200383F,REFR,0200C234,
02003840,REFR,0200E3E6,
02003841,REFR,02005894,
02003846,REFR,02007ADA,
02003847,REFR,000D201B,
02003848,REFR,000D201A,
02003849,REFR,0200933B,
0200384A,REFR,0200933A,
0200384B,REFR,02009342,
0200384C,REFR,02007ADA,
0200384D,REFR,02007ADA,
02003850,REFR,02007ADA,
02003852,REFR,02007AD8,
02003853,REFR,02007AD8,
02003858,REFR,0200933F,
02003859,REFR,02007AD9,
0200385A,REFR,02007AD9,
0200385B,REFR,02009341,
0200385C,REFR,02009340,
0200385D,REFR,0200E3E2,
0200385E,REFR,0200E3E9,
0200385F,REFR,0200E3E8,
02003860,REFR,020059C2,
02003861,REFR,02007ADA,
02003862,REFR,0200E3E4,
02003868,REFR,0200E3EC,
0200386D,REFR,000D201B,
0200386F,REFR,0200C22D,
02003884,REFR,0200C22E,
02003897,REFR,02017651,
020038AC,REFR,0200E3EB,
020038AD,ACHR,020071AA,Easy
020038AE,REFR,00000034,
020038B1,REFR,00000034,
020038B3,REFR,00000034,
020038B4,REFR,00000034,
020038ED,REFR,0000003B,
020038EE,REFR,0201A98A,
020038EF,REFR,0000003B,
020038F2,REFR,0000003B,
020038F7,REFR,02015FDF,
020038F9,REFR,0200E3E4,
02003900,REFR,0200E3E4,
02003901,REFR,000638B7,
02003902,REFR,000B4211,
02003905,REFR,02003BDA,
02003906,REFR,02013247,
02003908,REFR,02011812,
02003909,REFR,02011C42,
0200390A,REFR,02011C41,
0200390B,REFR,02006AA4,
0200390C,REFR,02006AA4,
0200390D,REFR,000C49EE,
0200390E,REFR,0200E3EB,
0200390F,REFR,000481B0,
02003910,REFR,00073CC2,
02003911,REFR,0002E500,
02003915,REFR,0200C22D,
02003916,REFR,0200C230,
02003917,REFR,0200C22E,
02003918,REFR,0200933F,
02003919,REFR,02007AD9,
0200391A,REFR,02007AD9,
0200391B,REFR,020059B9,
0200391C,REFR,0200C22E,
0200391D,REFR,020183EE,
0200391E,REFR,000D201C,
0200391F,REFR,000D201B,
02003920,REFR,0201611F,
02003921,REFR,020183EE,
02003923,REFR,020183EE,
02003924,REFR,000481B0,
02003925,REFR,000481B0,
02003926,REFR,000638B7,
02003927,REFR,000587D7,
02003928,REFR,000587D7,
02003929,REFR,000587D7,
02003935,REFR,000587D7,
02003936,REFR,000587D7,
02003937,REFR,000587D7,
02003938,REFR,000587D7,
02003939,REFR,00079986,
0200393A,REFR,0201A6A7,
0200393B,REFR,0201A6A7,
0200393C,REFR,00079986,
0200393F,REFR,020059C9,
02003940,REFR,0200280E,
